編號,行政區,廠商名稱〈市招〉,所屬單位,經營主體,市話,分機,行動電話,地址,經度,緯度,備註,
61,大安,Fit Five,私立,生達運動企業行,,,0920998498,臺北市大安區濟南路三段31號之1號1樓,121.5352,25.0402,健身房,
62,大安,Fit Issa,私立,百村企業有限公司,(02)27064068,,,臺北市大安區光復南路390號地下1樓,121.5573,25.0372,健身房,
63,大安,FIT ZONE byWorld Gym 公館店,私立,香港商世界健身事業有限公司飛動公館分公司,(02)23677666,,,臺北市大安區羅斯福路3段281號1樓,121.5314,25.0179,健身房,
64,大安,Fusion Force Fitness 諧動空間,私立,諧動健康科技股份有限公司大安分公司,,,0926112491,臺北市大安區信義路二段74號10樓,121.5263,25.0342,健身房,
65,大安,Give Training,私立,澤力有限公司,,,0926852328,臺北市大安區仁愛路四段407之1號1樓,121.5558,25.0380,健身房,
66,大安,Goal Fitness 走健身,私立,緣點運動企業社,(02)87720722,,,臺北市大安區大安路一段85號2樓,121.5462,25.0409,健身房,
67,大安,Goalway 訓練工作室,私立,構韋有限公司,,,0989616951,臺北市大安區光復南路578號2樓,121.5573,25.0336,健身房,
68,大安,her fitness 她的專屬健身空間,私立,安琪健康管理顧問有限公司,(02)27118886,,,臺北市大安區忠孝東路四段226號8樓,121.5536,25.0412,健身房,
69,大安,HI FIT 運動空間,私立,核立運動顧問有限公司,(02)87733770,,,臺北市大安區復興南路一段125號3樓,121.5440,25.0433,健身房,
70,大安,How How GYM 好好健身光復店 ,私立,漢杰健身事業股份有限公司,(02)87730030,,,臺北市大安區光復南路180巷6號2樓,121.5572,25.0425,健身房,
71,大安,How How GYM 好好健身東門店,私立,漢杰健康事業股份有限公司東門分公司,(02)23951385,,,臺北市大安區信義路二段36號1樓,121.5255,25.0346,健身房,
72,大安,Jack In The Gym 傑克在健身(敦南館),私立,傑克健身行銷有限公司,,,0928138358,臺北市大安區忠孝東路四段147巷1號11樓,121.5497,25.0418,健身房,
73,大安,MARTIAL ARMOUR MMA＆FITNESS ,私立,武甲運動事業有限公司古亭營業所,(02)23631188,,,臺北市大安區羅斯福路二段93號1樓,121.5240,25.0251,健身房,
74,大安,master fitness 專業健身職人,私立,碩源運動顧問有限公司,,,0919739880,臺北市大安區信義路三段106號6樓,121.5382,25.0332,健身房,
75,大安,PB SPORT,私立,十勻有限公司,(02)23223668,,,臺北市大安區金山南路二段33號地下1樓,121.5272,25.0328,健身房,
76,大安,PFC 肌力與體能訓練,私立,支點運動有限公司,,,0930358003,臺北市大安區忠孝東路四段250號2樓之4,121.5542,25.0412,健身房,
77,大安,Pro Space ,私立,普羅教育訓練有限公司,,,0919118264,臺北市大安區復興南路一段62號2樓之1,121.5436,25.0445,健身房,
78,大安,PUSHFitness 推動力運動空間,私立,推動力體適能運動有限公司,(02)27085458 ,,0922652077,臺北市大安區和平東路二段163號1樓,121.5414,25.0253,健身房,
79,大安,Rechar Gym,私立,能量充電站有限公司,,,0975229210,臺北市大安區信義路二段251號7樓,121.5312,25.0338,健身房,
80,大安,Space Cycle 台北明曜旗艦館,私立,觀示苑股份有限公司忠孝分公司,(02)27730108,,,臺北市大安區忠孝東路四段200號13樓,121.5520,25.0412,健身房,
81,大安,Start Fitness,私立,史達特有限公司,(02)23581686,,,臺北市大安區金山南路二段134號1樓,121.5262,25.0295,健身房,
82,大安,S動作訓練中心,私立,群安健康事業有限公司,(02)27068858,,,臺北市中山區長春路368號2樓之1室,121.5427,25.0544,健身房,
83,大安,TFL 淬煉體能訓練中心,私立,生命焠鍊體能顧問有限公司,(02)23515791 ,,0922579429,臺北市大安區忠孝東路四段303號地下1樓,121.5554,25.0415,健身房,
84,大安,TMMA 多功能訓練中心古亭館,私立,川復有限公司,(02)33222822,,,臺北市大安區金山南路二段222號地下1樓,121.5258,25.0276,健身房,
85,大安,UFC GYM TAIWAN,私立,優競健身事業股份有限公司,(02)87733772,,,臺北市大安區安和路一段27號地下2樓,121.5503,25.0391,健身房,
86,大安,World Gym 健身俱樂台北通化店,私立,香港商世界健身事業有限公司台北通化分公司,(02)27332888,,,臺北市大安區臨江街87號2樓,121.5549,25.0301,健身房,
87,大安,World Gym 健身俱樂部大安店,私立,香港商世界健身事業有限公司大安分公司,(02)23258888,,,臺北市大安區信義路四段6號3樓,121.5441,25.0331,健身房,
88,大安,World Gym 健身俱樂部台北統領店,私立,香港商世界健身事業有限公司忠孝分公司,(02)27739000,,,臺北市大安區忠孝東路四段201號3樓,121.5517,25.0416,健身房,
89,大安,World Gym 健身俱樂部台北麗水店,私立,香港商世界健身事業有限公司台北麗水分公司 ,(02)23212333,,,臺北市大安區麗水街18號1樓,121.5285,25.0308,健身房,
90,大安,World Gym 健身俱樂部光復店,私立,香港商世界健身事業有限公司光復分公司 ,(02)87713555,,,臺北市大安區忠孝東路四段330號地下一樓,121.5573,25.0411,健身房,
91,大安,YELLOW TRAINING STUDIO,私立,英雄豪傑體能訓練有限公司,(02)27788227,,,臺北市大安區濟南路三段31號1樓,121.5352,25.0402,健身房,
92,大安,力平方 SquareForce,私立,力平方有限公司,,,0909839638,臺北市大安區忠孝東路三段303號1樓,121.5434,25.0418,健身房,
93,大安,力坊體適能忠孝復興店 LEAP Fitness,私立,力坊體適能產業有限公司,(02)27739527,,,臺北市大安區忠孝東路三段203之2號2樓,121.5390,25.0419,健身房,
94,大安,大安運動中心,體育局,長佳機電工程股份有限公司大安運動中心暨和平籃球館營業所,(02)23770300,,,臺北市大安區辛亥路三段55號,121.5431,25.0206,健身房,
95,大安,好時光女生運動樂園大安樂園,私立,好時光風格股份有限公司大安分公司,,,0987620428,臺北市大安區復興南路一段249號4樓,121.5438,25.0369,健身房,
96,大安,作伙 CrossFit,私立,威整合體能股份有限公司,(02)27366027,,,臺北市大安區和平東路二段46巷11號1~3樓,121.5383,25.0250,健身房,
97,大安,初練健身工作室 TrueWorkout,私立,初練健身工作室,(02)27751678,,,臺北市大安區復興南路一段62號3樓,121.5436,25.0445,健身房,
98,大安,芮宜運動醫學肌力訓練中心東門館,私立,芮宜股份有限公司,(02)25679847,,,臺北市大安區信義路二段104號8樓,121.5274,25.0338,健身房,
99,大安,師大附中運動中心健身房,教育部,舞動陽光股份有限公司師大附中營業所,(02)27086000,,,臺北市大安區信義路三段143號,121.5403,25.0336,健身房,
100,大安,拿鐵健身,私立,拿鐵健身工作室有限公司,(02)87713579 ,,,臺北市大安區仁愛路三段143巷21號1樓,121.5431,25.0394,健身房,
101,大安,閃電肌力體能訓練,私立,閃電訓練有限公司,,,0909906123,臺北市大安區復興南路二段65號2樓之2,121.5437,25.0306,健身房,
102,大安,健身計畫 Project Fit,私立,武議國際股份有限公司,(02)27033393,,,臺北市大安區復興南路二段27號地下2層,121.5437,25.0318,健身房,
103,大安,健身魂,私立,宇宙力量股份有限公司,(02)27042177,,,臺北市大安區信義路三段109號地下1樓,121.5390,25.0336,健身房,
104,大安,國立臺灣大學綜合體育館,學校自營,國立臺灣大學綜合體育館,(02)33665959,,,臺北市大安區羅斯福路4段1號,121.5336,25.0170,健身房,
105,大安,強健身,私立,程強健康有限公司,(02)23659863,,,臺北市大安區羅斯福路三段281號2樓之1,121.5314,25.0179,健身房,
106,大安,低氧喜客,私立,單車喜客自行車人文精品店有限公司,(02)27772008,,,臺北市大安區仁愛路四段413號地下1樓,121.5561,25.0380,健身房,
107,大安,森林跑站 RunBase,私立,馬拉松創意生活有限公司,(02)23218834,,,臺北市大安區新生南路二段60號1樓,121.5341,25.0283,健身房,
108,大安,進化論 Evolution Fitness 健身房,私立,進化論體能股份有限公司,(02)27060667,,,臺北市大安區復興南路一段380號地下1樓,121.5433,25.0341,健身房,
109,大安,陽光健身 Sunshine Fitness,私立,陽光健體股份有限公司,,,0972075506,臺北市大安區忠孝東路四段60號2樓,121.5453,25.0413,健身房,
110,大安,運動皮質區體適能訓練所 Motor Cortex Fitness Studio,私立,運動皮質區體適能工作室,,,0921285612,臺北市大安區和平東路一段274之1號4樓,121.5340,25.0259,健身房,
111,大安,窩 WoFitness,私立,窩股份有限公司,,,0987410043,臺北市大安區羅斯福路三段79號地下1樓,121.5261,25.0227,健身房,
112,大安,奮發向上健身,私立,奮發向上運動事業有限公司,(02)27012493,,,臺北市大安區信義路四段151號2樓之3,121.5497,25.0334,健身房,
113,大安,體育客體適能學院,私立,三十甲體適能有限公司,(02)87326645,,,臺北市大安區和平東路三段246號1樓,121.5550,25.0217,健身房,
114,大安,就是肌力體能訓練中心大安店,私立,智安體能有限公司,,,0956698030,臺北市大安區復興南路二段152號1樓,121.5432,25.0281,健身房,
115,大安,Fitnexx 私人健身空間,私立,菲尼克斯健身股份有限公司,(02)27551238,,,臺北市大安區安和路一段137號2樓,121.5526,25.0341,健身房,
116,大安,巨平方健身房 GSQUARE 光復店,私立,巨平方健身事業有限公司,(02)27119226,,,臺北市大安區光復南路180巷2號2樓,121.5572,25.0426,健身房,
117,中山,World Gym 健身俱樂部大直北安店,私立,香港商世界健身事業有限公司大直北安分公司,(02)25332233,,,臺北市中山區北安路554巷19號地下1樓,121.5489,25.0801,健身房,
118,中山,XL CLUB,私立,海克利斯運動器材有限公司,(02)25988859,,,臺北市中山區民族東路10號4樓,121.5238,25.0682,健身房,
119,中山,ALIGNED FITNESS 齊天健身,私立,齊天健身事業有限公司,(02)85092053,,,臺北市中山區明水路567號1樓,121.5513,25.0795,健身房,
120,中山,BMF 動空間,私立,硬邦幫國際股份有限公司,(02)25118120,,,臺北市信義區松仁路89號地下2樓,121.5687,25.0372,健身房,
121,中山,Curves 中山錦州店,私立,歐貝有限公司,(02)25232488,,,臺北市中山區中山北路二段115巷45號1樓,121.5246,25.0609,健身房,
122,中山,Curves 南京復興店,私立,優曲線國際有限公司,(02)27118908,,,臺北市中山區南京東路三段208號5樓,121.5432,25.0516,健身房,
123,中山,Curves 建國長春店,私立,申展健康事業有限公司,(02)25152827,,,臺北市中山區建國北路二段74號3樓,121.5364,25.0550,健身房,
124,中山,Energym 林森店,私立,澤康運動顧問有限公司,,,0953315783,臺北市中山區林森北路77號2樓,121.5248,25.0495,健身房,
125,中山,Find Time Fitness Club 找時間動一動俱樂部,私立,找時間動一動俱樂部有限公司,(02)25339979,,,臺北市中山區明水路581巷25號地下1樓,121.5505,25.0801,健身房,
126,中山,Free Power 運動訓練,私立,健鑫體適能有限公司,,,0961280058,臺北市中山區新生北路一段83號地下1樓,121.5282,25.0509,健身房,
127,中山,GONNAFAT,私立,權宇有限公司,,,0952521768,臺北市中山區長安東路二段99號2樓,121.5349,25.0485,健身房,
128,中山,JEXER・FITNESS & SPA JR 東日本健身俱樂部,私立,台灣捷爾東健身事業股份有限公司,(02)77231499,,,臺北市中山區南京東路三段133號地下2樓,121.5412,25.0522,健身房,
129,中山,Living Fitness 健生活,私立,艾斯克健身有限公司,(02)21001680,,,臺北市中山區林森北路96號2樓,121.5246,25.0499,健身房,
130,中山,Monkey Training 猴子體能訓練,私立,康璽運動行銷有限公司,(02)25311228,,,臺北市中山區松江路276號6樓,121.5329,25.0598,健身房,
131,中山,More fit 松江南京店,私立,摩爾菲特健康顧問有限公司,(02)25180080,,,臺北市中山區南京東路二段125號地下1樓,121.5345,25.0522,健身房,
132,中山,MYWAY Fitness,私立,麥威肌力體能股份有限公司,(02)87724271,,,臺北市中山區復興南路一段2號地下1樓,121.5436,25.0471,健身房,
133,中山,O.M FIT 運動空間,私立,果毅健身有限公司 ,(02)25311640 ,,,臺北市中山區林森北路147號2樓 ,121.5253,25.0514,健身房,
134,中山,OPTiMAX 動作重塑與肌力訓練,私立,台灣三維體能股份有限公司,(02)85020903,,,臺北市中山區明水路678號1樓,121.5510,25.0839,健身房,
135,中山,PLUS Fitness Studio,私立,普拉斯運動顧問股份有限公司 ,(02)25158508,,,臺北市中山區復興北路446號1樓,121.5440,25.0639,健身房,
136,中山,PULSE Gym 台北建國店,私立,嘉和智能科技股份有限公司建國營業處,(02)25157800,,,臺北市中山區建國北路一段96號1樓,121.5362,25.0503,健身房,
137,中山,Refine Fitness,私立,提爾健身有限公司,(02)25684892,,,臺北市中山區南京東路二段97號地下1樓,121.5323,25.0522,健身房,
138,中山,STEPX FITNESS 健身房,私立,匹塔股份有限公司,(02)25670249,,,臺北市中山區南京東路二段8號地下1樓,121.5283,25.0519,健身房,
139,中山,VShape 頗行健體運動空間,私立,頗行健體有限公司,,,0987279287,臺北市中山區長春路61巷27號1樓,121.5264,25.0558,健身房,
140,中山,WEEE  Fitness,私立,一起練股份有限公司,(02)87726429,,,臺北市中山區市民大道三段143號2樓,121.5392,25.0448,健身房,
141,中山,World Gym 健身俱樂部大直店,私立,香港商世界健身事業有限公司大直分公司,(02)85012333,,,臺北市中山區堤頂大道二段588號,121.5596,25.0844,健身房,
142,中山,World Gym 健身俱樂部台北長春店,私立,香港商世界健身事業有限公司台北長春分公司,(02)25215222,,,臺北市中山區長春路90號1樓,121.5271,25.0547,健身房,
143,中山,World Gym 健身俱樂部民權東店,私立,香港商世界健身事業有限公司台北民權東分公司,(02)25155522,,,臺北市中山區民權東路三段72號地下1樓,121.5430,25.0621,健身房,
144,中山,X-fit studio 體適能健體空間,私立,心安實業,(02)25622296,,,臺北市中山區中山北路二段56號3樓,121.5225,25.0564,健身房,
145,中山,中山運動中心,體育局,社團法人中國青年救國團臺北市中山運動中心,(02)25711060,,,臺北市中山區中山北路二段44巷2號,121.5188,25.0548,健身房,
146,中山,五十佳健身薈,私立,香港商五十佳健康事業股份有限公司(台灣分公司),(02)25119950,,,臺北市中山區南京東路一段138號4樓,121.5273,25.0518,健身房,
147,中山,天天健體能訓練室 Everyday Training,私立,佑銓道國際企業社,,,0953071887,臺北市中山區松江路275號地下1樓,121.5333,25.0600,健身房,
148,中山,北安國中游泳池附設健身房,教育局,太格股份有限公司北安營業所,(02)25325733,,,臺北市中山區明水路325號,121.5416,25.0778,健身房,
149,中山,宅健身,私立,台北健身中心有限公司,(02)25317768,,,臺北市中山區民生東路一段29號地下1樓,121.5250,25.0583,健身房,
150,中山,巨平方健身房 GSQUARE 民權店,私立,巨平方健身事業有限公司,(02)25112528,,,臺北市中山區中山北路二段183之5號1樓,121.5227,25.0636,健身房,
151,中山,H&Y FITNESS,私立,憶昕體能訓練有限公司,,,0938933623,臺北市中山區長安東路二段204號1樓,121.5418,25.0482,健身房,
152,中山,好時光女生運動樂園松江樂園,私立,好時光運動顧問有限公司,(02)25629047,,,臺北市中山區長安東路二段49號2樓,121.5322,25.0485,健身房,
153,中山,好時光女生運動樂園南京樂園,私立,好時光相信運動有限公司,(02)25075976,,,臺北市中山區龍江路96號4樓,121.5403,25.0523,健身房,
154,中山,米鈦工作室,私立,米鈦工作室,,,0913175922,臺北市中山區林森北路100號8樓之6,121.5247,25.0504,健身房,
155,中山,拳能健身館 Dynamic Fitness,私立,拳能健身館,,,0960399999,臺北市中山區樂群三路77號2樓,121.5540,25.0828,健身房,
156,中山,烈火拳擊運動空間 BlazeBoxing,私立,恩雨運動工作室,(02)25674605,,,臺北市中山區長春路40號5樓,121.5249,25.0548,健身房,
157,中山,健身工廠 Fitness Factory 長春廠,私立,柏文健康事業股份有限公司台北長春分公司,(02)27196555,,,臺北市中山區遼寧街177號地下2樓,121.5423,25.0527,健身房,
158,中山,健身工廠中山北廠,私立,柏文健康事業股份有限公司台北中山北分公司,(02)25819222,,,臺北市中山區中山北路二段59巷45號地下1樓 ,121.5245,25.0559,健身房,
159,中山,強大肌力訓練中心,私立,強大肌力訓練中心有限公司,(02)26275282,,,臺北市中山區樂群二路265巷32號,121.5604,25.0812,健身房,
160,中山,植健身 FIT PLANT GYM,私立,全創適能有限公司,(02)25221152,,,臺北市中山區中山北路一段33巷25號1樓,121.5230,25.0486,健身房,
161,中山,給力健身房林森店,私立,給力健身有限公司,(02)25418585,,,臺北市中山區林森北路381號地下1樓,121.5256,25.0585,健身房,
162,中山,絲瓜健身房 SQUAT FITNESS ,私立,絲瓜運動股份有限公司,(02)27771109,,,臺北市中山區八德路二段309號1樓,121.5426,25.0474,健身房,
163,中山,菲特邦健康管理工作室,私立,菲特邦健康管理顧問有限公司,(02)25814402,,,臺北市中山區中山北路二段77巷14號3樓,121.5243,25.0574,健身房,
164,中山,跑者肌地 Runner Sports Training,私立,跑者肌地有限公司,,,0930792287,臺北市中山區新生北路三段84巷47號,121.5260,25.0675,健身房,
165,中山,黃金比例健身工坊,私立,黃金比例健身工坊,,,0986373060,臺北市中山區林森北路77號3樓 ,121.5248,25.0495,健身房,
166,中山,榮星花園游泳池附設健身房,體育局,全越運動事業股份有限公司榮星花園游泳池館,(02)25079366,,,臺北市中山區建國北路三段39號2樓,121.5376,25.0639,健身房,
167,中山,練健康南京店,私立,凱羅斯健康有限公司,(02)25074196,,,臺北市中山區南京東路三段29號地下1樓,121.5379,25.0522,健身房,
168,中山,橡體有限公司,私立,橡體有限公司,(02)25221152,,,臺北市中山區中山北路一段33巷25號2樓,121.5230,25.0486,健身房,
169,中山,鍛鍊基地 Workout Base ,私立,駿騰事業有限公司,(02)27188330,,,臺北市中山區長春路410號2樓,121.5437,25.0544,健身房,
170,中山,台北運動健身中心 長安店,私立,長安健身器材有限公司,(02)25716555,,,臺北市中山區長安東路一段21號地下1樓,121.5231,25.0496,健身房,
171,中山,Refine Fitness 純淬健身 松江1號店,私立,希芙健康股份有限公司,(02)25684891,,,臺北市中山區南京東路二段100號地下1樓,121.5318,25.0519,健身房,
172,中山,SoFit 微健身民權店,私立,碩妃健康事業股份有限公司,(02)25177682,,,臺北市中山區民權東路三段2號15樓,121.5377,25.0622,健身房,
173,中山,愛表現體能學院,私立,愛表現體能顧問股份有限公司,(02)27216262,,,臺北市中山區朱崙街60號地下1樓,121.5434,25.0498,健身房,
174,中山,18lightfitclub_minquan,私立,輕瑩力工作室,(02)87724290,,,臺北市中山區撫順街35之2號1樓,121.5197,25.0635,健身房,
175,中正,BeeFit 蜂運動寧波教室,私立,蜂動有限公司,(02)33933227,,,臺北市中正區寧波西街79號1樓,121.5167,25.0303,健身房,
176,中正,Curves 古亭店,私立,台灣威凌克股份有限公司可爾絲古亭二號分公司,(02)23643002,,,臺北市中正區羅斯福路二段116號3樓之1,121.5226,25.0264,健身房,
177,中正,Force Fitness 運動空間中正店,私立,元動健康事業股份有限公司,(02)23969996,,,臺北市中正區南昌路一段123號2樓之2,121.5183,25.0298,健身房,
178,中正,NOW GO 公館店,私立,鬧購國際有限公司,,,0975809155,臺北市中正區羅斯福路三段312號8樓,121.5325,25.0161,健身房,
179,中正,PowFit 博派運動空間,私立,博昕管理顧問有限公司,,,0955515141,臺北市中正區開封街一段27號3樓,121.5135,25.0460,健身房,
